original_term,replacement
di-expose,diekspos
d’exposé,diekspos
hopeless,putus asa
gegara,gara gara
wapres,wakil presiden
govn,pemerintah
profile,profil
pembully,perundung
recokin,ganggu
recoki,ganggu
mind,pikiran
take control,ambil kendali
the rill,asli
rill,asli
worry,khawatir
wasting,membuang
protect,lindungi
my,saya
mbg is great,makan bergizi gratis bagus
jebul,ternyata
bola bali,bolak balik
crate,buat
repuse,menolak
ngaruh,berpengaruh
kebobrokan,keburukan
nyisa,tersisa
food waste,limbah makanan
ngemis,mengemis
support,dukung
sounds good,terdengar bagus
day one,hari pertama
simple,sederhana
impactful,berdampak
tenan,sungguh
better then,lebih baik dari
lopyu,aku suka kamu
would never,tidak akan pernah
sadfood,makanan buruk
gws,lekas sembuh
menyalaaaaaa,hebat
exist,ada
guild tripping,membuat rasa bersalah
napkin,serbet
do not,jangan
mean,jahat
update,pembaruan
food poisoning,keracunan makanan
vs,lawan
peoplepowerourpower,kekuatan rakyat
nyasar,tersesat
ngurusi,mengurus
org,orang
porsi,porsi
pax,porsi
pack,bungkus
kotak,kotak
nyoba,mencoba
skolah,sekolah
nakes,tenaga kesehatan
ketidakkonsistenan,ketidakkonsistenan
kanjutkanmbg,lanjutkan makan bergizi gratis
spaghetti,spaghetti
ja,iya
gini,begini
bp,bapak
penerintab,pemerintah
bener,benar
1tahunprabowogibran,1 tahun prabowo gibran
telmi,telat mikir
iso entok,bisa dapat
ngicipi,mencicipi
ayoklah,ayo lah
sebenernya,sebenarnya
supposed to,seharusnya
cm,cuma
plsjj,mohon
watdefak,apa sih
or whaterver hell they are called,atau apapun itu mereka disebut
ky,kayak
w,aku
lbh,lebih
lg,lagi
dukungpolri,dukung polri
tkt,takut
dewek,diri sendiri
hidupjokowi,hidup jokowi
pendidikanuntuksemua,pendidikan untuk semua
acehhebat,aceh hebat
aneukacehsehat,anak aceh sehat
engganya,tidak nya
dadanhindayana,dadan hindayana
arekgerak,arek gerak
generasicampus2025,generasi kampus 2025
perlindungandigital,perlindungan digital
polrihadiruntukmasyarakat,polri hadir untuk masyarakat
untungadapolisi,untung ada polisi
papuasehat,papua sehat
sigapmembangunnegeriuntukrakyat,sigap membangun negeri untuk rakyat
setahunberdampak,setahun berdampak
indonesiacerdas,indonesia cerdas
bhwa,bahwa
dngn,dengan
mmf,maaf
gue,saya
dukungmakanbergizigratis,dukung makan bergizi gratis
papuabaratdaya,papua barat daya
dukungpolka,dukung polka
mbgkalteng,makan bergizi gratis kalimantan tengah
stabilitassosial,stabilitas sosial
kesejahteraanrakyat,kesejahteraan rakyat
pemerintahpeduli,pemerintah peduli
menyalaaaaa,menyala
elu,kamu
sodorin,sodorkan
indonesiamandiripangan,indonesia mandiri pangan
pemenuhangizinasional,pemenuhan gizi nasional
3x,3 kali
banter,cepat
kyk,kayak
ajgg,anjing
fun fact,fakta menarik
sjahtera,sejahtera
generasiemasindonesia,generasi emas indonesia
memonitoring,mengawasi
lu,kamu
incerannya,tujuannya
sinkronisasi,sinkronisasi
picky eater,pemilih makanan
picky eaternya,pemilih makanannya
semangatbersama,semangat bersama
ngatasi,mengatasi
kaleee,kali
ttp,tetap
bayik2,bayi bayi
menu2nya,menu menunya
bny,banyak
brp,berapa
sekolahtanpalapar,sekolah tanpa lapar
cerdassehat,cerdas sehat
anakbahagia,anak bahagia
bangsapeduli,bangsa peduli
nempel,menempel
komitmenpemerintahmbg,komitmen pemerintah makan bergizi gratis
generasisehatcerdas,generasi sehat cerdas
monitoringmbg,pantau makan bergizi gratis
monitoring,pemantauan
sppgpolressubang,sppg polres subang
presidenprabowo,presiden prabowo
badangizinasional,badan gizi nasional
menyalapresidenku,menyala presidenku
ngrepotin,merepotkan
klau,kalau
haters,pengkritik
brenti,berhenti
me,saya
ortunya,orang tuanya
selesai2,selesai selesai
oknum2,oknum oknum
apa2,apa apa
as always priority,seperti biasa prioritas
box,kotak
ae,ae
kasi,kasih
bptaksindukungprabowonomics,bptaskin dukung prabowonomics
if you know it means you+,jika kamu tahu itu artinya kamu plus
tar,sebentar
cb,coba
job,pekerjaan
daripetaniuntukbangsa,dari petani untuk bangsa
ekonomikerakyatan,ekonomi kerakyatan
programmbg,program makan bergizi gratis
giziuntukbangsa,gizi untuk bangsa
prabowountukrakyat,prabowo untuk rakyat
temennya,temannya
hr,hari
programmakanbergizigratis,program makan bergizi gratis
dukungprogrammakanbergizigratis,dukung program makan bergizi gratis
satutahunprabowogibran,satu tahun prabowo gibran
krn,karena
indonesiamaju,indonesia maju
bersamarakyat,bersama rakyat
prabowogibran,prabowo gibran
daripetaniuntukanakbangsa,dari petani untuk anak bangsa
jueleekk,jelek
indonesiaemas2045,indonesia emas 2045
indonesiacemas2045,indonesia cemas 2045
lapeerr,lapar
guidelinenya,panduannya
disampein,disampaikan
semuaaaaaa,semua
bangunnegribersamapemuda,bangun negeri bersama pemuda
ak,aku
jg,juga
respect,hormat
berbaktiuntukindonesia,berbakti untuk indonesia
abis2an,habis habisan
nyokap,ibu
bokap,ayah
amp,sampai
sehatmerata,sehat merata
giziuntuksemua,gizi untuk semua
pakee,pakai
mataaa,mata
pikir2,pikir pikir
msh,masih
skrg,sekarang
1x,1 kali
2x,2 kali
5hari,5 hari
1minggu,1 minggu
anaksehatindonesiahebat,anak sehat indonesia hebat
generasiemas,generasi emas
generasicemas,generasi cemas
menambah2,menambah tambah
=,sama dengan
sedihh,sedih
bgtttt,sangat
ngobrol,berbicara
anaksehatbangsakuat,anak sehat bangsa kuat
giziuntukmasadepan,gizi untuk masa depan
dpt,dapat
manfaatmakanbergizigratis,manfaat makan bergizi gratis
dukungprogrammakanbergizigeatis,dukung program makan bergizi gratis
gara2,gara gara
jgn,jangan
ayam sorry,maafkan aku
kutak,aku tidak
kutakkan,aku tidak akan
penuhigiziindonesia,penuh gizi indonesia
ngelola,mengelola
berjln,berjalan
dijlnkan,dijalankan
meminimalisir,meminimalkan
bgymn,bagaimana
liat,lihat
sehatkanbangsa,sehatkan bangsa
cerdaskangenerasi,cerdas kan generasi
kekeuh,tegas
bocil,anak kecil
dipungkiri,pungkir
skit,sakit
orng,orang
gt,gitu
iya,iya
buzzernya,pendengung nya
the only,satu satunya
i trust,saya percaya
ges,guys
i,saya
anakhebatindonesia,anak hebat indonesia
mbguntukanakbangsa,makan bergizi gratis untuk anak bangsa
investasimasadepan,investasi masa depan
wujudin,wujudkan
kenceng,kencang
ngangkat,mengangkat
msih,masih
tmbahan,tambahan
cpet,cepat
mnding,mending
nyamper,menjemput
prabowosubianto,prabowo subianto
generasicemerlang,generasi cemerlang
bayik,bayi
manuasi,manusia
didqlam,di dalam
kelimpuangan,kelimpungan
newborn,bayi baru lahir
sdanya,seadanya
dirusakin,dirusak
anajing,anjing
jarene,katanya
dipaksain,dipaksakan
roll out,peluncuran
adminnya,admin
adekku,adikku
pelanran,pelantaran
zamanskrng,zaman sekarang
pilihz,pilih
ngeri,mengerikan
1thnprabowogibran,satu tahun prabowo gibran
thnprabowogibran,tahun prabowo gibran
ikhlaaaasssss,ikhlas
dptin,dapatkan
kesini,ke sini
kesono,ke sana
bossss,bos
trilyun,triliun
jugaaaaa,juga
menindaklanjuti,tindak lanjut
nganggur,menganggur
ngembangin,mengembangkan
faknyanya,faktanya
perpres,peraturan presiden
bgituu,begitu
aseliii,asli
bngsa,bangsa
ntarrr,nanti
milyar,miliar
request,permintaan
jobdesk,deskripsi pekerjaan
wapresssnya,wakil presiden
proper,layak
vid,video
habis2an,habis habisan
happy,senang
nolak,menolak
moga,semoga
hesteg,tagar
nunjukin,menunjukkan
ngebacot,banyak bicara
ngedorong,mendorong
ngerumpi,bergosip
ngerasain,merasakan
gangerti,tidak mengerti
asbunnya,asal buncinya
ngeliat,melihat
ngerasa,merasa
banged,banget
ngelawan,melawan
ngeluh,mengeluh
ngebut,cepat
ngemantapin,memantapkan
ngebunuh,membunuh
ngecap,mengecap
ngenalin,mengenalkan
ngetutor,mengajari
ngerespon,merespons
ngerjain,mengerjakan
ngegampangin,menggampangkan
ngehadepin,menghadapi
ngehitung,menghitung
ngelamar,melamar
ngejaga,menjaga
ngebangun,membangun
ngegym,olahraga
ngejar,mengejar
ngelirik,melirik
ngejalanin,menjalani
ngebuktiin,membuktikan
ngegas,marah
ngerepotin,merepotkan
ngendika,berkata
ngehujat,menghujat
ngewarung,berjualan
ngejabat,menjabat
ngebayangin,membayangkan
ngetwit,membuat status
ngetwet,membuat status
ngetweet,membuat status
ngeyelan,keras kepala
ngelaptop,main laptop
ngebuka,membuka
ngenyangin,mengenyangkan
ngeringanin,meringankan
ngejamin,menjamin
ngeanterin,mengantar
ngenterin,mengantar
nganterin,mengantar
ngebet,ingin sekali
ngebett,ingin sekali
ngebuat,membuat
ngebul,berasap
ngehina,menghina
ngeluhin,mengeluhkan
ngena,terasa
ngebubarin,membubarkan
ngegizi,bergizi
ngertiin,mengerti
ngemeng,bicara
ngerangkul,merangkul
ngedm,mengirim pesan
ngebahas,membahas
ngerahin,mengerahkan
ngetes,mengetes
ngetawain,menertawakan
ngelist,mendata
ngebuzzer,menjadi pendengung
ngelibatin,melibatkan
ngecor,mengecor
ngekritik,mengkritik
ngelantur,melantur
ngeluarin,mengeluarkan
ngebom,membom
ngerekrut,merekrut
ngedidik,mendidik
ngeupdate,memperbarui
ngasih,memberi
ngantri,antre
ngantrinya,antre
ngantuk,mengantuk
ngawasin,mengawasi
nganggep,menganggap
ngawur,asal asalan
ngabarin,mengabari
ngabisin,menghabiskan
ngaboti,memberatkan
ngabuburit,menunggu buka puasa
ngacau,mengacau
ngaceng,ereksi
ngacir,kabur
ngaco,kacau
ngacung,mengacung
ngadain,mengadakan
ngadepin,menghadapi
ngadem,mendinginkan diri
ngadep,menghadap
ngadi,mengada ada
ngademin,menyejukkan
ngadu,mengadu
ngaduk,mengaduk
ngagumin,mengagumi
ngajak,mengajak
ngajar,mengajar
ngajarin,mengajari
ngaji,mengaji
ngajuin,mengajukan
ngakal,mengakali
ngakalin,mengakali
ngaku,mengaku
ngalah,mengalah
ngalamin,mengalami
ngelamin,mengalami
ngalor,utara
ngambek,marah
ngambilin,mengambilkan
ngambis,ambisius
ngamuk,mengamuk
ngamatin,mengamati
ngampus,kuliah
nganar,nyasar
ngancem,mengancam
ngandelin,mengandalkan
nganggu,mengganggu
ngangkang,mengangkang
ngangkut,mengangkut
ngantongin,mengantongi
ngapain,sedang apa
ngapus,menghapus
ngarah,mengarah
ngarahin,mengarahkan
ngaret,terlambat
ngasuh,mengasuh
ngatain,mengejek
ngatur,mengatur
ngawinin,menikahi
ngayalah,menghayal
ngayal,menghayal
ngebantu,membantu
ngebatalin,membatalkan
ngebebanin,membebani
ngebela,membela
ngebedain,membedakan
ngeberatin,memberatkan
ngebenerin,membenarkan
ngebiarin,membiarkan
ngebimbing,membimbing
ngeblok,memblokir
ngebobol,membobol
ngebocorin,membocorkan
ngebohongin,membohongi
ngebolehin,membolehkan
ngebosenin,membosankan
ngebuang,membuang
ngebutuhin,membutuhkan
ngechat,mengirim pesan
ngecek,mengecek
ngecas,mengisi daya
ngecilin,mengecilkan
ngeceng,nongkrong
ngedate,berkencan
ngedukung,mendukung
ngeduluin,mendahului
ngedumel,menggerutu
ngefan,menggemari
ngefitnah,memfitnah
ngefollow,mengikuti
ngeframe,membingkai
ngefreak,aneh
ngefreeze,beku
ngegabut,bosan
ngeganti,mengganti
ngegantung,menggantung
ngegarap,menggarap
ngegebrak,menggebrak
ngegedein,membesarkan
ngegelar,menggelar
ngegolin,mencetak gol
ngegoreng,menggoreng
ngegubris,menggubris
ngeh,sadar
ngehalu,berkhayal
ngehargain,menghargai
ngehemat,menghemat
ngehebohkan,menghebohkan
ngehindar,menghindar
ngehukum,menghukum
ngejauhin,menjauhi
ngejelekin,menjelekkan
ngejual,menjual
ngejudge,menghakimi
ngejunk,sampah
ngejurnal,membuat jurnal
ngeklik,cocok
ngekos,indekos
ngelaba,mencari untung
ngeladenin,melayani
ngelarang,melarang
ngelarisi,melariskan
ngelatih,melatih
ngelawak,melawak
ngelebary,melebar
ngelebarkan,melebarkan
ngelepas,melepas
ngelewatin,melewati
ngelindungin,melindungi
ngeliput,meliput
ngelolosin,meloloskan
ngelupain,melupakan
ngemandor,mengawasi
ngemanja,memanjakan
ngembat,mengambil
ngemil,makan camilan
ngembaliin,mengembalikan
ngemodal,mengeluarkan modal
ngenest,menyedihkan
ngengas,marah
ngoperasiin,mengoperasikan
ngoprol,mengobrol
ngotot,bersikeras
ngover,berlebihan
ngoyo,memaksakan diri
ngutang,berhutang
nilep,menggelapkan uang
nipisin,menipiskan
nipu,menipu
nongki,nongkrong
nongkrong,berkumpul
nyabuburit,menunggu buka puasa
nyabut,mencabut
nyacat,mencacat
nyadarin,menyadarkan
nyagub,mencalonkan gubernur
nyahut,menyahut
nyakitin,menyakiti
nyalahin,menyalahkan
nyaleg,mencalonkan legislatif
nyalain,menyalakan
nyalon,mencalonkan
nyambung,menyambung
nyampe,sampai
nyamperin,menghampiri
nyampah,membuang sampah
nyindir,menyindir
nyiapin,menyiapkan
nyicil,mencicil
nyoblos,memilih
nyolong,mencuri
nyuruh,menyuruh
nyusahin,menyusahkan
nyusul,menyusul
alkes,alat kesehatan
anggarannya,anggaran
bantuan,bantuan
bansos,bantuan sosial
cawapres,calon wakil presiden
capres,calon presiden
faskes,fasilitas kesehatan
pemda,pemerintah daerah
pemkot,pemerintah kota
pemkab,pemerintah kabupaten
pemprov,pemerintah provinsi
paslon,pasangan calon
pilpres,pemilihan presiden
pileg,pemilihan legislatif
programnya,program
korupsi,korupsi
sosialisasi,sosialisasi
cawe-cawe,ikut campur
hilirisasi,hilirisasi
ormas,organisasi masyarakat
kkn,korupsi kolusi nepotisme
gratifikasi,suap
pelicin,suap
orang dalem,nepotisme
ordal,nepotisme
fufu,gibran
mulyono,jokowi
raja jawa,jokowi
zulhas,zulkifli hasan
kpn,kapan
sm,sama
dgn,dengan
bapak2,bapak bapak
ibu2,ibu ibu
adek,adik
kakak,kakak
sis,kakak
guys,teman teman
japri,jalur pribadi
pc,pesan pribadi
halu,berkhayal
santuy,santai
kabor,kabur
rugi,rugi
buzzer,pendengung
buzzerp,pendengung
buzzer pemerintah,pendengung pemerintah
foya-foya,menghamburkan uang
proyekan,proyek
jatah preman,pungutan liar
pungli,pungutan liar
palak,memalak
bekingan,pelindung
apeben,apbn
apebede,apbd
bumnnya,bumn
kpkri,kpk
bepemon,bpom
menkeu,kemenkeu
menkes,kemenkes
mendikbud,kemdikbud
loba,banyak
pisan,banget
ulah,jangan
ninggali,melihat
rasan,gunjing
rasan-rasan,gunjing
monggo,silakan
bptaskintinjaudapurbintang5,badan pengentasan kemiskinan tinjau dapur makan bergizi gratis
generasisehat,generasi sehat
umkmdukungmbg,usaha mikro kecil menengah dukung makan bergizi gratis
makanbergizi,makan bergizi
komitmenpemerintahjagambg,komitmen pemerintah jaga makan bergizi gratis
polriuntukmasyarakat,polri dukung masyarakat
3tindonesia,daerah tertinggal terdepan terluar indonesia
polripresisi,polri presisi
polripeduligizi,polri peduli gizi
kerukunanbangsa,kerukunan bangsa
mbgmajukanpapua,makan bergizi gratis majukan papua
pemerataanpembangunanindonesia,pemerataan pembangunan indonesia
indonesiaterang,indonesia terang
mbgcerdaskanbangsa,makan bergizi gratis cerdaskan bangsa
pemerataangizi,pemerataan gizi
anaksehat,anak sehat
ekonomilokal,ekonomi lokal
bridorongekonomikerakyatan,bank rakyat indonesia dorong ekonomi kerakyatan
dukungantransformasinasional,dukungan transformasi nasional
mbgdorongekonomi,makan bergizi gratis dorong ekonomi
prabowonomicsdanbptaskin,prabowonomics dan badan pengentasan kemiskinan
tniaddihatirakyat,tni angkatan darat di hati rakyat
tniadbekerjadenganhati,tni angkatan darat bekerja dengan hati
makangratis,makan bergizi gratis
generasiemas2045,generasi emas 2045
ketahananpangan,ketahanan pangan
mbg2025,makan bergizi gratis 2025
bangunindonesiasehat2045,bangun indonesia sehat 2045
giziuntukanak,gizi untuk anak
tniadberjuangbersamarakyat,tni ad berjuang bersama rakyat
programprioritas,program prioritas pemerintah
mbgjalanterus,makan bergizi gratis jalan terus
mbginvestasibangsa,makan bergizi gratis investasi bangsa
